model,variant,precision,recall,map
Rule,lift-only,0.0,0.0,0.0
CF,lift-only,0.02559087204563977,0.053982969172455715,0.026109744699292375
Hybrid,lift-only,0.0475957620211899,0.10272797247124875,0.052136494029831434
