algorithm,antecedents,consequents,support,confidence,lift,recency_score,composite_score_with_recency
FP-Growth,frozenset({'butter milk'}),frozenset({'bottled water'}),0.0021,0.1471,2.2867,0.9678,0.3557
FP-Growth,frozenset({'canned beer'}),frozenset({'brown bread'}),0.003,0.0909,2.1561,0.9514,0.3366
Apriori,frozenset({'canned beer'}),frozenset({'brown bread'}),0.003,0.0909,2.1561,0.9514,0.3366
FP-Growth,frozenset({'frozen meals'}),frozenset({'other vegetables'}),0.003,0.1667,1.5168,0.9836,0.3715
Apriori,frozenset({'frozen meals'}),frozenset({'other vegetables'}),0.003,0.1667,1.5168,0.9836,0.3715
FP-Growth,frozenset({'shopping bags'}),frozenset({'yogurt'}),0.0043,0.0787,1.0103,1.0,0.3414
Apriori,frozenset({'shopping bags'}),frozenset({'yogurt'}),0.0043,0.0787,1.0103,1.0,0.3414
Apriori,frozenset({'coffee'}),frozenset({'soda'}),0.0038,0.1169,1.1779,0.9836,0.353
FP-Growth,frozenset({'coffee'}),frozenset({'soda'}),0.0038,0.1169,1.1779,0.9836,0.353
Apriori,frozenset({'brown bread'}),frozenset({'canned beer'}),0.003,0.0707,2.1561,0.9514,0.3218
FP-Growth,frozenset({'brown bread'}),frozenset({'canned beer'}),0.003,0.0707,2.1561,0.9514,0.3218
Apriori,frozenset({'beverages'}),frozenset({'fruit/vegetable juice'}),0.0013,0.1111,2.9987,0.9514,0.3246
FP-Growth,frozenset({'beverages'}),frozenset({'fruit/vegetable juice'}),0.0013,0.1111,2.9987,0.9514,0.3246
Apriori,frozenset({'roll products '}),frozenset({'soda'}),0.0013,0.2308,2.3255,0.9524,0.3759
FP-Growth,frozenset({'roll products '}),frozenset({'soda'}),0.0013,0.2308,2.3255,0.9524,0.3759
Apriori,frozenset({'semi-finished bread'}),frozenset({'newspapers'}),0.0013,0.125,3.1559,0.9094,0.3247
FP-Growth,frozenset({'semi-finished bread'}),frozenset({'newspapers'}),0.0013,0.125,3.1559,0.9094,0.3247
FP-Growth,frozenset({'brown bread'}),frozenset({'yogurt'}),0.0038,0.0909,1.1664,0.9836,0.3333
Apriori,frozenset({'brown bread'}),frozenset({'yogurt'}),0.0038,0.0909,1.1664,0.9836,0.3333
FP-Growth,frozenset({'dessert'}),frozenset({'whole milk'}),0.0034,0.1404,1.0331,1.0,0.3513
Apriori,frozenset({'dessert'}),frozenset({'whole milk'}),0.0034,0.1404,1.0331,1.0,0.3513
Apriori,frozenset({'flour'}),frozenset({'citrus fruit'}),0.0013,0.1154,3.2253,0.883,0.3097
FP-Growth,frozenset({'flour'}),frozenset({'citrus fruit'}),0.0013,0.1154,3.2253,0.883,0.3097
Apriori,frozenset({'fruit/vegetable juice'}),frozenset({'tropical fruit'}),0.003,0.0805,1.9278,0.9355,0.3095
FP-Growth,frozenset({'fruit/vegetable juice'}),frozenset({'tropical fruit'}),0.003,0.0805,1.9278,0.9355,0.3095
FP-Growth,frozenset({'fruit/vegetable juice'}),frozenset({'rolls/buns'}),0.0038,0.1034,1.0249,0.9678,0.3277
Apriori,frozenset({'fruit/vegetable juice'}),frozenset({'rolls/buns'}),0.0038,0.1034,1.0249,0.9678,0.3277
FP-Growth,frozenset({'tropical fruit'}),frozenset({'fruit/vegetable juice'}),0.003,0.0714,1.9278,0.9355,0.3028
Apriori,frozenset({'tropical fruit'}),frozenset({'fruit/vegetable juice'}),0.003,0.0714,1.9278,0.9355,0.3028
FP-Growth,frozenset({'chewing gum'}),frozenset({'soda'}),0.0021,0.1562,1.5746,1.0,0.338
Apriori,frozenset({'chewing gum'}),frozenset({'soda'}),0.0021,0.1562,1.5746,1.0,0.338
Apriori,frozenset({'berries'}),frozenset({'pastry'}),0.0017,0.1143,2.1641,0.9836,0.3139
FP-Growth,frozenset({'berries'}),frozenset({'pastry'}),0.0017,0.1143,2.1641,0.9836,0.3139
Apriori,frozenset({'curd'}),frozenset({'whipped/sour cream'}),0.0026,0.0882,1.8665,0.9672,0.3077
FP-Growth,frozenset({'curd'}),frozenset({'whipped/sour cream'}),0.0026,0.0882,1.8665,0.9672,0.3077
FP-Growth,frozenset({'chewing gum'}),frozenset({'rolls/buns'}),0.0021,0.1562,1.548,1.0,0.3365
Apriori,frozenset({'chewing gum'}),frozenset({'rolls/buns'}),0.0021,0.1562,1.548,1.0,0.3365
FP-Growth,frozenset({'napkins'}),frozenset({'yogurt'}),0.0026,0.1154,1.4805,1.0,0.3211
Apriori,frozenset({'napkins'}),frozenset({'yogurt'}),0.0026,0.1154,1.4805,1.0,0.3211
Apriori,frozenset({'cat food'}),frozenset({'fruit/vegetable juice'}),0.0013,0.1111,2.9987,0.8771,0.2916
FP-Growth,frozenset({'cat food'}),frozenset({'fruit/vegetable juice'}),0.0013,0.1111,2.9987,0.8771,0.2916
Apriori,frozenset({'UHT-milk'}),frozenset({'other vegetables'}),0.003,0.14,1.2741,0.9524,0.3249
FP-Growth,frozenset({'UHT-milk'}),frozenset({'other vegetables'}),0.003,0.14,1.2741,0.9524,0.3249
FP-Growth,frozenset({'red/blush wine'}),frozenset({'bottled water'}),0.0017,0.129,2.0064,0.9678,0.3091
Apriori,frozenset({'red/blush wine'}),frozenset({'bottled water'}),0.0017,0.129,2.0064,0.9678,0.3091
Apriori,frozenset({'pip fruit'}),frozenset({'rolls/buns'}),0.0034,0.1127,1.1163,0.9524,0.3145
FP-Growth,frozenset({'pip fruit'}),frozenset({'rolls/buns'}),0.0034,0.1127,1.1163,0.9524,0.3145
Apriori,frozenset({'whipped/sour cream'}),frozenset({'bottled water'}),0.0034,0.0721,1.1207,0.9836,0.2989
FP-Growth,frozenset({'whipped/sour cream'}),frozenset({'bottled water'}),0.0034,0.0721,1.1207,0.9836,0.2989
FP-Growth,frozenset({'hamburger meat'}),frozenset({'other vegetables'}),0.0021,0.1562,1.422,0.9836,0.3223
Apriori,frozenset({'hamburger meat'}),frozenset({'other vegetables'}),0.0021,0.1562,1.422,0.9836,0.3223
FP-Growth,frozenset({'root vegetables'}),frozenset({'shopping bags'}),0.0034,0.0667,1.2325,0.9524,0.2871
Apriori,frozenset({'root vegetables'}),frozenset({'shopping bags'}),0.0034,0.0667,1.2325,0.9524,0.2871
FP-Growth,frozenset({'sugar'}),frozenset({'bottled water'}),0.0021,0.1136,1.767,0.9524,0.2961
Apriori,frozenset({'sugar'}),frozenset({'bottled water'}),0.0021,0.1136,1.767,0.9524,0.2961
Apriori,frozenset({'shopping bags'}),frozenset({'root vegetables'}),0.0034,0.063,1.2325,0.9524,0.2845
FP-Growth,frozenset({'shopping bags'}),frozenset({'root vegetables'}),0.0034,0.063,1.2325,0.9524,0.2845
Apriori,frozenset({'candy'}),frozenset({'domestic eggs'}),0.0017,0.1053,2.4716,0.89,0.2825
FP-Growth,frozenset({'candy'}),frozenset({'domestic eggs'}),0.0017,0.1053,2.4716,0.89,0.2825
Apriori,frozenset({'specialty bar'}),frozenset({'newspapers'}),0.0013,0.1071,2.7051,0.893,0.2797
FP-Growth,frozenset({'specialty bar'}),frozenset({'newspapers'}),0.0013,0.1071,2.7051,0.893,0.2797
FP-Growth,frozenset({'hard cheese'}),frozenset({'coffee'}),0.0013,0.0937,2.8588,0.8796,0.2724
Apriori,frozenset({'hard cheese'}),frozenset({'coffee'}),0.0013,0.0937,2.8588,0.8796,0.2724
Apriori,frozenset({'fruit/vegetable juice'}),frozenset({'bottled beer'}),0.0026,0.069,1.5876,0.9678,0.2786
FP-Growth,frozenset({'fruit/vegetable juice'}),frozenset({'bottled beer'}),0.0026,0.069,1.5876,0.9678,0.2786
FP-Growth,frozenset({'detergent'}),frozenset({'whole milk'}),0.0013,0.2,1.4721,1.0,0.328
Apriori,frozenset({'detergent'}),frozenset({'whole milk'}),0.0013,0.2,1.4721,1.0,0.328
Apriori,frozenset({'beverages'}),frozenset({'shopping bags'}),0.0013,0.1111,2.0542,0.9836,0.2874
FP-Growth,frozenset({'beverages'}),frozenset({'shopping bags'}),0.0013,0.1111,2.0542,0.9836,0.2874
FP-Growth,frozenset({'sliced cheese'}),frozenset({'whole milk'}),0.0026,0.1667,1.2268,0.9376,0.317
Apriori,frozenset({'sliced cheese'}),frozenset({'whole milk'}),0.0026,0.1667,1.2268,0.9376,0.317
Apriori,frozenset({'canned beer'}),frozenset({'yogurt'}),0.003,0.0909,1.1664,0.9678,0.2899
FP-Growth,frozenset({'canned beer'}),frozenset({'yogurt'}),0.003,0.0909,1.1664,0.9678,0.2899
Apriori,frozenset({'red/blush wine'}),frozenset({'tropical fruit'}),0.0013,0.0968,2.3186,0.9355,0.27
FP-Growth,frozenset({'red/blush wine'}),frozenset({'tropical fruit'}),0.0013,0.0968,2.3186,0.9355,0.27
FP-Growth,frozenset({'waffles'}),frozenset({'yogurt'}),0.0026,0.1111,1.4256,0.9376,0.2872
Apriori,frozenset({'waffles'}),frozenset({'yogurt'}),0.0026,0.1111,1.4256,0.9376,0.2872
Apriori,frozenset({'sugar'}),frozenset({'tropical fruit'}),0.0017,0.0909,2.1781,0.9202,0.2694
FP-Growth,frozenset({'sugar'}),frozenset({'tropical fruit'}),0.0017,0.0909,2.1781,0.9202,0.2694
Apriori,frozenset({'flour'}),frozenset({'tropical fruit'}),0.0013,0.1154,2.7645,0.8507,0.2702
FP-Growth,frozenset({'flour'}),frozenset({'tropical fruit'}),0.0013,0.1154,2.7645,0.8507,0.2702
Apriori,frozenset({'cream cheese '}),frozenset({'bottled water'}),0.0021,0.0943,1.4669,0.9836,0.2795
FP-Growth,frozenset({'cream cheese '}),frozenset({'bottled water'}),0.0021,0.0943,1.4669,0.9836,0.2795
Apriori,frozenset({'frozen fish'}),frozenset({'pastry'}),0.0013,0.1875,3.5504,0.6675,0.2844
FP-Growth,frozenset({'frozen fish'}),frozenset({'pastry'}),0.0013,0.1875,3.5504,0.6675,0.2844
Apriori,frozenset({'salty snack'}),frozenset({'waffles'}),0.0013,0.0612,2.6621,0.9053,0.2493
FP-Growth,frozenset({'salty snack'}),frozenset({'waffles'}),0.0013,0.0612,2.6621,0.9053,0.2493
Apriori,frozenset({'white bread'}),frozenset({'other vegetables'}),0.003,0.1111,1.0112,0.9524,0.2894
FP-Growth,frozenset({'white bread'}),frozenset({'other vegetables'}),0.003,0.1111,1.0112,0.9524,0.2894
Apriori,"frozenset({'other vegetables', 'rolls/buns'})",frozenset({'soda'}),0.0013,0.15,1.5116,1.0,0.2936
FP-Growth,"frozenset({'other vegetables', 'rolls/buns'})",frozenset({'soda'}),0.0013,0.15,1.5116,1.0,0.2936
FP-Growth,frozenset({'soft cheese'}),frozenset({'other vegetables'}),0.0017,0.1481,1.3483,0.9836,0.2942
Apriori,frozenset({'soft cheese'}),frozenset({'other vegetables'}),0.0017,0.1481,1.3483,0.9836,0.2942
Apriori,frozenset({'cat food'}),frozenset({'whole milk'}),0.0021,0.1852,1.3631,0.9094,0.3073
FP-Growth,frozenset({'cat food'}),frozenset({'whole milk'}),0.0021,0.1852,1.3631,0.9094,0.3073
Apriori,frozenset({'curd'}),frozenset({'yogurt'}),0.0026,0.0882,1.1321,0.9836,0.2749
FP-Growth,frozenset({'curd'}),frozenset({'yogurt'}),0.0026,0.0882,1.1321,0.9836,0.2749
FP-Growth,frozenset({'chocolate'}),frozenset({'soda'}),0.0026,0.1463,1.4747,0.883,0.2914
Apriori,frozenset({'chocolate'}),frozenset({'soda'}),0.0026,0.1463,1.4747,0.883,0.2914
FP-Growth,frozenset({'citrus fruit'}),frozenset({'bottled water'}),0.0026,0.0714,1.1107,1.0,0.2688
Apriori,frozenset({'citrus fruit'}),frozenset({'bottled water'}),0.0026,0.0714,1.1107,1.0,0.2688
FP-Growth,frozenset({'semi-finished bread'}),frozenset({'yogurt'}),0.0013,0.125,1.6038,1.0,0.2803
