algorithm,antecedents,consequents,support,confidence,lift,recency_score,composite_score_with_recency
FP-Growth,frozenset({'curd'}),frozenset({'other vegetables'}),0.0025,0.0833,0.7811,0.9836,0.3691
FP-Growth,frozenset({'newspapers'}),frozenset({'rolls/buns'}),0.0033,0.0809,0.7941,0.9672,0.3617
FP-Growth,frozenset({'brown bread'}),frozenset({'soda'}),0.0028,0.0685,0.7236,1.0,0.3497
FP-Growth,frozenset({'curd'}),frozenset({'whole milk'}),0.0029,0.0952,0.7299,0.9836,0.3446
FP-Growth,frozenset({'pastry'}),frozenset({'bottled water'}),0.0025,0.0506,0.8328,0.9836,0.3882
FP-Growth,frozenset({'shopping bags'}),frozenset({'yogurt'}),0.0033,0.0635,0.808,0.9672,0.3633
FP-Growth,frozenset({'bottled water'}),frozenset({'whole milk'}),0.0045,0.0748,0.5733,1.0,0.2717
FP-Growth,frozenset({'brown bread'}),frozenset({'yogurt'}),0.0025,0.0625,0.7954,0.9836,0.3697
FP-Growth,frozenset({'butter'}),frozenset({'whole milk'}),0.0031,0.0912,0.6991,0.9836,0.3257
FP-Growth,frozenset({'bottled water'}),frozenset({'pastry'}),0.0025,0.0413,0.8328,0.9836,0.3845
FP-Growth,frozenset({'tropical fruit'}),frozenset({'whole milk'}),0.0038,0.0784,0.6011,1.0,0.2853
FP-Growth,frozenset({'tropical fruit'}),frozenset({'bottled water'}),0.0023,0.0466,0.7665,1.0,0.3642
FP-Growth,frozenset({'brown bread'}),frozenset({'rolls/buns'}),0.003,0.0744,0.7302,0.9836,0.3374
FP-Growth,frozenset({'chocolate'}),frozenset({'rolls/buns'}),0.0022,0.09,0.8832,0.9514,0.3923
FP-Growth,frozenset({'citrus fruit'}),frozenset({'rolls/buns'}),0.0026,0.0761,0.747,0.9836,0.346
FP-Growth,frozenset({'soda'}),frozenset({'bottled water'}),0.0038,0.0405,0.6658,1.0,0.3104
FP-Growth,frozenset({'brown bread'}),frozenset({'other vegetables'}),0.0029,0.0714,0.6695,1.0,0.3183
FP-Growth,frozenset({'canned beer'}),frozenset({'other vegetables'}),0.0025,0.0734,0.6883,1.0,0.3281
FP-Growth,frozenset({'bottled water'}),frozenset({'rolls/buns'}),0.0041,0.0669,0.6568,0.9836,0.2965
FP-Growth,frozenset({'fruit/vegetable juice'}),frozenset({'yogurt'}),0.0023,0.0619,0.7876,0.9836,0.363
FP-Growth,frozenset({'pastry'}),frozenset({'root vegetables'}),0.0024,0.0482,0.7979,0.9836,0.3648
FP-Growth,frozenset({'yogurt'}),frozenset({'shopping bags'}),0.0033,0.0426,0.808,0.9672,0.3551
FP-Growth,frozenset({'fruit/vegetable juice'}),frozenset({'whole milk'}),0.003,0.0814,0.6241,1.0,0.2949
FP-Growth,frozenset({'salty snack'}),frozenset({'rolls/buns'}),0.002,0.1037,1.0172,0.9068,0.4244
FP-Growth,frozenset({'newspapers'}),frozenset({'yogurt'}),0.0026,0.0636,0.8092,0.9672,0.3591
FP-Growth,frozenset({'butter'}),frozenset({'soda'}),0.0024,0.0702,0.7418,0.9836,0.3387
FP-Growth,frozenset({'curd'}),frozenset({'soda'}),0.0022,0.0714,0.755,0.9836,0.3458
FP-Growth,frozenset({'bottled water'}),frozenset({'other vegetables'}),0.0038,0.063,0.5904,1.0,0.2726
FP-Growth,frozenset({'coffee'}),frozenset({'soda'}),0.002,0.0664,0.7019,1.0,0.3305
FP-Growth,frozenset({'tropical fruit'}),frozenset({'other vegetables'}),0.0032,0.0662,0.6203,1.0,0.2882
FP-Growth,frozenset({'domestic eggs'}),frozenset({'rolls/buns'}),0.003,0.0753,0.739,0.9672,0.3228
FP-Growth,frozenset({'margarine'}),frozenset({'rolls/buns'}),0.0029,0.0811,0.7957,0.9514,0.3396
FP-Growth,frozenset({'soda'}),frozenset({'rolls/buns'}),0.0053,0.0556,0.5459,0.9836,0.2317
FP-Growth,frozenset({'pip fruit'}),frozenset({'whole milk'}),0.0031,0.0828,0.6346,0.9836,0.2824
FP-Growth,frozenset({'yogurt'}),frozenset({'soda'}),0.0044,0.0563,0.5953,0.9836,0.2567
FP-Growth,frozenset({'rolls/buns'}),frozenset({'soda'}),0.0053,0.0516,0.5459,0.9836,0.2301
FP-Growth,frozenset({'pastry'}),frozenset({'whole milk'}),0.0038,0.0771,0.5909,0.9836,0.2581
FP-Growth,frozenset({'bottled water'}),frozenset({'yogurt'}),0.0032,0.0531,0.6764,0.9836,0.2973
FP-Growth,frozenset({'margarine'}),frozenset({'soda'}),0.0025,0.0709,0.7499,0.9678,0.3252
FP-Growth,frozenset({'margarine'}),frozenset({'whole milk'}),0.0031,0.0878,0.6732,0.9678,0.2885
FP-Growth,frozenset({'root vegetables'}),frozenset({'whole milk'}),0.0041,0.0673,0.516,1.0,0.2299
FP-Growth,frozenset({'soda'}),frozenset({'yogurt'}),0.0044,0.0468,0.5953,0.9836,0.253
FP-Growth,frozenset({'yogurt'}),frozenset({'bottled water'}),0.0032,0.0411,0.6764,0.9836,0.2926
FP-Growth,frozenset({'citrus fruit'}),frozenset({'whole milk'}),0.0026,0.0761,0.5834,1.0,0.2651
FP-Growth,frozenset({'tropical fruit'}),frozenset({'yogurt'}),0.0026,0.0539,0.6862,0.9836,0.2996
FP-Growth,frozenset({'fruit/vegetable juice'}),frozenset({'other vegetables'}),0.0024,0.0651,0.6106,1.0,0.276
FP-Growth,frozenset({'domestic eggs'}),frozenset({'soda'}),0.0025,0.0633,0.6686,0.9836,0.2915
FP-Growth,frozenset({'tropical fruit'}),frozenset({'rolls/buns'}),0.0031,0.0637,0.6254,0.9836,0.2691
FP-Growth,frozenset({'white bread'}),frozenset({'whole milk'}),0.0024,0.0897,0.6873,0.9678,0.293
FP-Growth,frozenset({'canned beer'}),frozenset({'soda'}),0.002,0.0594,0.6283,1.0,0.2822
FP-Growth,frozenset({'fruit/vegetable juice'}),frozenset({'soda'}),0.0022,0.0586,0.6197,1.0,0.2774
FP-Growth,frozenset({'whipped/sour cream'}),frozenset({'soda'}),0.0029,0.0647,0.6838,0.9678,0.2843
FP-Growth,frozenset({'newspapers'}),frozenset({'other vegetables'}),0.0028,0.0665,0.6231,0.9836,0.2663
FP-Growth,frozenset({'white bread'}),frozenset({'other vegetables'}),0.002,0.0762,0.7146,0.9678,0.302
FP-Growth,frozenset({'root vegetables'}),frozenset({'yogurt'}),0.003,0.0495,0.63,0.9836,0.2655
FP-Growth,frozenset({'domestic eggs'}),frozenset({'other vegetables'}),0.0026,0.0663,0.6211,0.9836,0.2642
FP-Growth,frozenset({'pip fruit'}),frozenset({'yogurt'}),0.0022,0.0573,0.7295,0.9672,0.304
FP-Growth,frozenset({'coffee'}),frozenset({'rolls/buns'}),0.002,0.0664,0.6517,0.9836,0.279
FP-Growth,frozenset({'citrus fruit'}),frozenset({'other vegetables'}),0.0022,0.0623,0.5838,1.0,0.2566
FP-Growth,frozenset({'frozen vegetables'}),frozenset({'whole milk'}),0.0028,0.1,0.7664,0.9232,0.2931
FP-Growth,frozenset({'frozen vegetables'}),frozenset({'other vegetables'}),0.0024,0.087,0.8151,0.9232,0.3156
FP-Growth,frozenset({'whipped/sour cream'}),frozenset({'other vegetables'}),0.003,0.0674,0.6316,0.9678,0.2539
FP-Growth,frozenset({'pastry'}),frozenset({'yogurt'}),0.0026,0.053,0.6746,0.9672,0.2716
FP-Growth,frozenset({'newspapers'}),frozenset({'soda'}),0.0024,0.0578,0.611,0.9836,0.2529
FP-Growth,frozenset({'root vegetables'}),frozenset({'rolls/buns'}),0.0033,0.0554,0.5441,0.9836,0.2172
FP-Growth,frozenset({'frozen vegetables'}),frozenset({'rolls/buns'}),0.0024,0.087,0.8533,0.9068,0.3188
FP-Growth,frozenset({'whipped/sour cream'}),frozenset({'yogurt'}),0.0025,0.0566,0.7203,0.9514,0.2808
FP-Growth,frozenset({'margarine'}),frozenset({'other vegetables'}),0.0024,0.0676,0.6333,0.9678,0.2508
FP-Growth,frozenset({'whipped/sour cream'}),frozenset({'whole milk'}),0.0032,0.0728,0.5577,0.9678,0.2119
FP-Growth,frozenset({'pastry'}),frozenset({'soda'}),0.0026,0.053,0.5603,0.9836,0.2213
FP-Growth,frozenset({'coffee'}),frozenset({'whole milk'}),0.002,0.0664,0.5089,1.0,0.211
FP-Growth,frozenset({'napkins'}),frozenset({'whole milk'}),0.0025,0.1005,0.77,0.8959,0.2599
FP-Growth,frozenset({'butter'}),frozenset({'rolls/buns'}),0.002,0.0596,0.5854,0.9672,0.2148
FP-Growth,frozenset({'bottled beer'}),frozenset({'rolls/buns'}),0.0022,0.0531,0.5211,0.9836,0.1937
FP-Growth,frozenset({'root vegetables'}),frozenset({'other vegetables'}),0.0028,0.0455,0.4269,1.0,0.157
FP-Growth,frozenset({'long life bakery product'}),frozenset({'whole milk'}),0.002,0.1,0.7664,0.8959,0.2541
FP-Growth,frozenset({'pastry'}),frozenset({'other vegetables'}),0.0025,0.0506,0.4743,0.9836,0.1663
FP-Growth,frozenset({'cream cheese '}),frozenset({'whole milk'}),0.002,0.0859,0.658,0.9232,0.2154
FP-Growth,frozenset({'napkins'}),frozenset({'other vegetables'}),0.002,0.0813,0.7624,0.8959,0.2443
FP-Growth,frozenset({'pastry'}),frozenset({'rolls/buns'}),0.0023,0.0458,0.4493,0.9672,0.1268
FP-Growth,frozenset({'whipped/sour cream'}),frozenset({'rolls/buns'}),0.0022,0.0485,0.4761,0.9514,0.1239
