algorithm,antecedents,consequents,support,confidence,lift,recency_score,composite_score_with_recency
Apriori,frozenset({'shopping bags'}),frozenset({'root vegetables'}),0.0034,0.063,1.2325,0.9524,0.3765
Apriori,frozenset({'candy'}),frozenset({'domestic eggs'}),0.0017,0.1053,2.4716,0.89,0.4223
Apriori,frozenset({'specialty bar'}),frozenset({'newspapers'}),0.0013,0.1071,2.7051,0.893,0.4441
Apriori,frozenset({'hard cheese'}),frozenset({'coffee'}),0.0013,0.0937,2.8588,0.8796,0.4447
Apriori,frozenset({'fruit/vegetable juice'}),frozenset({'bottled beer'}),0.0026,0.069,1.5876,0.9678,0.4191
Apriori,frozenset({'detergent'}),frozenset({'whole milk'}),0.0013,0.2,1.4721,1.0,0.4384
Apriori,frozenset({'beverages'}),frozenset({'shopping bags'}),0.0013,0.1111,2.0542,0.9836,0.4714
Apriori,frozenset({'sliced cheese'}),frozenset({'whole milk'}),0.0026,0.1667,1.2268,0.9376,0.3628
Apriori,frozenset({'canned beer'}),frozenset({'yogurt'}),0.003,0.0909,1.1664,0.9678,0.3847
Apriori,frozenset({'red/blush wine'}),frozenset({'tropical fruit'}),0.0013,0.0968,2.3186,0.9355,0.4503
Apriori,frozenset({'waffles'}),frozenset({'yogurt'}),0.0026,0.1111,1.4256,0.9376,0.3791
Apriori,frozenset({'sugar'}),frozenset({'tropical fruit'}),0.0017,0.0909,2.1781,0.9202,0.4252
Apriori,frozenset({'flour'}),frozenset({'tropical fruit'}),0.0013,0.1154,2.7645,0.8507,0.4114
Apriori,frozenset({'cream cheese '}),frozenset({'bottled water'}),0.0021,0.0943,1.4669,0.9836,0.4234
Apriori,frozenset({'frozen fish'}),frozenset({'pastry'}),0.0013,0.1875,3.5504,0.6675,0.3128
Apriori,frozenset({'salty snack'}),frozenset({'waffles'}),0.0013,0.0612,2.6621,0.9053,0.4516
Apriori,frozenset({'white bread'}),frozenset({'other vegetables'}),0.003,0.1111,1.0112,0.9524,0.3583
Apriori,"frozenset({'other vegetables', 'rolls/buns'})",frozenset({'soda'}),0.0013,0.15,1.5116,1.0,0.4416
Apriori,frozenset({'soft cheese'}),frozenset({'other vegetables'}),0.0017,0.1481,1.3483,0.9836,0.4137
Apriori,frozenset({'cat food'}),frozenset({'whole milk'}),0.0021,0.1852,1.3631,0.9094,0.3489
