algorithm,antecedents,consequents,support,confidence,lift,recency_score,composite_score_with_recency
FP-Growth,frozenset({'other vegetables'}),frozenset({'rolls/buns'}),0.0069,0.065,0.6381,0.9987,0.3005
FP-Growth,frozenset({'sausage'}),frozenset({'yogurt'}),0.002,0.0791,1.0062,0.9987,0.4417
FP-Growth,frozenset({'rolls/buns'}),frozenset({'processed cheese'}),0.0014,0.0141,1.2267,0.9974,0.5086
FP-Growth,frozenset({'waffles'}),frozenset({'whole milk'}),0.0025,0.1235,0.9467,0.9961,0.414
FP-Growth,frozenset({'whole milk'}),frozenset({'yogurt'}),0.0068,0.0522,0.6649,0.9987,0.3078
FP-Growth,frozenset({'specialty chocolate'}),frozenset({'soda'}),0.0016,0.0949,1.003,0.9987,0.4423
FP-Growth,frozenset({'brown bread'}),frozenset({'whole milk'}),0.0039,0.0982,0.7527,1.0,0.3533
FP-Growth,frozenset({'chewing gum'}),frozenset({'yogurt'}),0.0011,0.0882,1.1229,0.9961,0.4739
FP-Growth,frozenset({'white bread'}),frozenset({'canned beer'}),0.0011,0.0404,1.1799,0.9974,0.4935
FP-Growth,frozenset({'sausage'}),frozenset({'whole milk'}),0.0028,0.107,0.8198,1.0,0.3792
FP-Growth,frozenset({'soda'}),frozenset({'root vegetables'}),0.0045,0.048,0.7954,1.0,0.3605
FP-Growth,frozenset({'chewing gum'}),frozenset({'other vegetables'}),0.0013,0.1078,1.0108,0.9974,0.4396
FP-Growth,frozenset({'newspapers'}),frozenset({'shopping bags'}),0.0023,0.0549,1.0411,0.9974,0.4425
FP-Growth,frozenset({'fruit/vegetable juice'}),frozenset({'bottled beer'}),0.0016,0.0423,1.0444,1.0,0.4533
FP-Growth,frozenset({'yogurt'}),frozenset({'rolls/buns'}),0.0057,0.0731,0.717,0.9974,0.3226
FP-Growth,frozenset({'root vegetables'}),frozenset({'sliced cheese'}),0.0011,0.0178,1.2114,0.9974,0.5007
FP-Growth,frozenset({'canned beer'}),frozenset({'white bread'}),0.0011,0.0315,1.1799,0.9974,0.4907
FP-Growth,frozenset({'domestic eggs'}),frozenset({'newspapers'}),0.0018,0.0452,1.0918,0.9974,0.4595
FP-Growth,frozenset({'canned beer'}),frozenset({'yogurt'}),0.0025,0.0734,0.9344,0.9987,0.4103
FP-Growth,frozenset({'domestic eggs'}),frozenset({'whole milk'}),0.0039,0.0994,0.7617,0.9987,0.349
FP-Growth,frozenset({'bottled beer'}),frozenset({'fruit/vegetable juice'}),0.0016,0.0383,1.0444,1.0,0.452
FP-Growth,frozenset({'newspapers'}),frozenset({'domestic eggs'}),0.0018,0.0434,1.0918,0.9974,0.4589
FP-Growth,frozenset({'bottled beer'}),frozenset({'pastry'}),0.002,0.0501,1.0103,0.9987,0.4344
FP-Growth,frozenset({'shopping bags'}),frozenset({'newspapers'}),0.0023,0.0431,1.0411,0.9974,0.4388
FP-Growth,frozenset({'yogurt'}),frozenset({'pork'}),0.0017,0.0213,1.1348,0.9974,0.4707
FP-Growth,frozenset({'chocolate'}),frozenset({'soda'}),0.0022,0.09,0.9513,0.9974,0.4121
FP-Growth,frozenset({'other vegetables'}),frozenset({'bottled beer'}),0.0037,0.0348,0.8571,1.0,0.3792
FP-Growth,frozenset({'shopping bags'}),frozenset({'soda'}),0.0039,0.0748,0.791,0.9987,0.3545
FP-Growth,frozenset({'bottled water'}),frozenset({'sugar'}),0.0016,0.0256,1.3208,0.9908,0.5115
FP-Growth,frozenset({'rolls/buns'}),frozenset({'yogurt'}),0.0057,0.0563,0.717,0.9974,0.3173
FP-Growth,frozenset({'UHT-milk'}),frozenset({'other vegetables'}),0.0022,0.1084,1.0164,0.9935,0.421
FP-Growth,frozenset({'white bread'}),frozenset({'bottled water'}),0.0017,0.0628,1.0333,0.9974,0.4378
FP-Growth,frozenset({'tropical fruit'}),frozenset({'soda'}),0.0036,0.0735,0.7772,1.0,0.3545
FP-Growth,frozenset({'pastry'}),frozenset({'bottled beer'}),0.002,0.041,1.0103,0.9987,0.4315
FP-Growth,frozenset({'soda'}),frozenset({'red/blush wine'}),0.0012,0.0126,1.1366,0.9987,0.4747
FP-Growth,frozenset({'frankfurter'}),frozenset({'other vegetables'}),0.0012,0.098,0.919,1.0,0.4118
FP-Growth,frozenset({'whole milk'}),frozenset({'newspapers'}),0.0044,0.0339,0.8195,0.9987,0.3575
FP-Growth,frozenset({'pip fruit'}),frozenset({'pastry'}),0.0019,0.051,1.0266,0.9974,0.4325
FP-Growth,frozenset({'specialty bar'}),frozenset({'soda'}),0.0012,0.0877,0.9272,1.0,0.4123
FP-Growth,frozenset({'beef'}),frozenset({'newspapers'}),0.0011,0.0469,1.1327,0.9961,0.4654
FP-Growth,frozenset({'frozen vegetables'}),frozenset({'bottled beer'}),0.0013,0.0478,1.1796,0.9935,0.4707
FP-Growth,frozenset({'yogurt'}),frozenset({'sausage'}),0.002,0.0259,1.0062,0.9987,0.4249
FP-Growth,frozenset({'pastry'}),frozenset({'pip fruit'}),0.0019,0.0386,1.0266,0.9974,0.4286
FP-Growth,frozenset({'canned beer'}),frozenset({'whole milk'}),0.0032,0.0944,0.7235,1.0,0.3345
FP-Growth,frozenset({'bottled beer'}),frozenset({'newspapers'}),0.0017,0.0413,0.998,0.9987,0.4238
FP-Growth,frozenset({'newspapers'}),frozenset({'bottled beer'}),0.0017,0.0405,0.998,0.9987,0.4235
FP-Growth,frozenset({'ice cream'}),frozenset({'whole milk'}),0.0016,0.1238,0.9488,0.9948,0.4004
FP-Growth,frozenset({'brown bread'}),frozenset({'pastry'}),0.0019,0.0476,0.9594,0.9987,0.4098
FP-Growth,frozenset({'shopping bags'}),frozenset({'other vegetables'}),0.0041,0.0771,0.7227,0.9987,0.325
FP-Growth,frozenset({'specialty chocolate'}),frozenset({'other vegetables'}),0.0016,0.0949,0.8894,0.9987,0.3908
FP-Growth,frozenset({'shopping bags'}),frozenset({'whole milk'}),0.0045,0.0862,0.6604,0.9987,0.3025
FP-Growth,frozenset({'shopping bags'}),frozenset({'rolls/buns'}),0.0041,0.0771,0.7566,0.9974,0.3315
FP-Growth,frozenset({'hard cheese'}),frozenset({'yogurt'}),0.0011,0.0783,0.9959,0.9974,0.4221
FP-Growth,frozenset({'yogurt'}),frozenset({'canned beer'}),0.0025,0.032,0.9344,0.9987,0.3972
FP-Growth,frozenset({'rolls/buns'}),frozenset({'hamburger meat'}),0.0018,0.0176,1.0222,0.9987,0.4281
FP-Growth,frozenset({'salty snack'}),frozenset({'rolls/buns'}),0.002,0.1037,1.0172,0.9921,0.4103
FP-Growth,frozenset({'salty snack'}),frozenset({'root vegetables'}),0.0013,0.0671,1.1105,0.9935,0.4455
FP-Growth,frozenset({'pip fruit'}),frozenset({'soda'}),0.0029,0.0764,0.8079,0.9987,0.3561
FP-Growth,frozenset({'whole milk'}),frozenset({'candy'}),0.0022,0.0165,1.0294,0.9974,0.4244
FP-Growth,frozenset({'soda'}),frozenset({'shopping bags'}),0.0039,0.0417,0.791,0.9987,0.344
FP-Growth,frozenset({'bottled beer'}),frozenset({'frozen vegetables'}),0.0013,0.0324,1.1796,0.9935,0.4659
FP-Growth,frozenset({'newspapers'}),frozenset({'beef'}),0.0011,0.026,1.1327,0.9961,0.4588
FP-Growth,frozenset({'newspapers'}),frozenset({'rolls/buns'}),0.0033,0.0809,0.7941,0.9974,0.3454
FP-Growth,frozenset({'sliced cheese'}),frozenset({'other vegetables'}),0.0014,0.0976,0.9145,0.9974,0.3934
FP-Growth,frozenset({'pastry'}),frozenset({'brown bread'}),0.0019,0.0386,0.9594,0.9987,0.4069
FP-Growth,frozenset({'coffee'}),frozenset({'shopping bags'}),0.0016,0.0508,0.9628,0.9987,0.4101
FP-Growth,frozenset({'citrus fruit'}),frozenset({'whipped/sour cream'}),0.0016,0.045,1.0137,0.9974,0.4226
FP-Growth,frozenset({'napkins'}),frozenset({'citrus fruit'}),0.0011,0.0431,1.2458,0.9908,0.4801
FP-Growth,frozenset({'bottled water'}),frozenset({'white bread'}),0.0017,0.0276,1.0333,0.9974,0.4267
FP-Growth,frozenset({'soda'}),frozenset({'tropical fruit'}),0.0036,0.0379,0.7772,1.0,0.3432
FP-Growth,frozenset({'chewing gum'}),frozenset({'rolls/buns'}),0.0012,0.098,0.9621,0.9961,0.4049
FP-Growth,frozenset({'domestic eggs'}),frozenset({'brown bread'}),0.0016,0.0392,0.9744,0.9987,0.4117
FP-Growth,frozenset({'brown bread'}),frozenset({'domestic eggs'}),0.0016,0.0387,0.9744,0.9987,0.4116
FP-Growth,frozenset({'whole milk'}),frozenset({'cat food'}),0.0018,0.0137,0.966,1.0,0.4102
FP-Growth,frozenset({'whole milk'}),frozenset({'brown bread'}),0.0039,0.0302,0.7527,1.0,0.3319
FP-Growth,frozenset({'whipped/sour cream'}),frozenset({'citrus fruit'}),0.0016,0.035,1.0137,0.9974,0.4194
FP-Growth,frozenset({'shopping bags'}),frozenset({'yogurt'}),0.0033,0.0635,0.808,0.9974,0.3461
FP-Growth,frozenset({'chocolate'}),frozenset({'rolls/buns'}),0.0022,0.09,0.8832,0.9961,0.3724
FP-Growth,frozenset({'curd'}),frozenset({'bottled water'}),0.0017,0.0556,0.9144,0.9987,0.3904
