algorithm,antecedents,consequents,support,confidence,lift,recency_score,composite_score_with_recency
Apriori,frozenset({'cat food'}),frozenset({'fruit/vegetable juice'}),0.0011,0.0756,2.0598,1.0,0.9213
Apriori,frozenset({'fruit/vegetable juice'}),frozenset({'cat food'}),0.0011,0.0293,2.0598,1.0,0.9066
Apriori,frozenset({'candy'}),frozenset({'domestic eggs'}),0.0011,0.0672,1.6914,0.9961,0.7251
Apriori,frozenset({'frankfurter'}),frozenset({'whole milk'}),0.002,0.1667,1.2773,1.0,0.6011
Apriori,frozenset({'hamburger meat'}),frozenset({'bottled beer'}),0.0011,0.0625,1.5415,1.0,0.6821
Apriori,frozenset({'bottled beer'}),frozenset({'whole milk'}),0.0054,0.1327,1.0173,1.0,0.4931
Apriori,frozenset({'domestic eggs'}),frozenset({'candy'}),0.0011,0.0271,1.6914,0.9961,0.7125
Apriori,frozenset({'bottled beer'}),frozenset({'hamburger meat'}),0.0011,0.0265,1.5415,1.0,0.6708
Apriori,frozenset({'soda'}),frozenset({'whole milk'}),0.0091,0.0961,0.7363,1.0,0.3769
Apriori,frozenset({'napkins'}),frozenset({'pastry'}),0.002,0.0813,1.6388,0.9895,0.6675
Apriori,frozenset({'whole milk'}),frozenset({'soda'}),0.0091,0.0697,0.7363,1.0,0.3685
Apriori,frozenset({'berries'}),frozenset({'pastry'}),0.0012,0.0735,1.4814,0.9961,0.6326
Apriori,frozenset({'other vegetables'}),frozenset({'whole milk'}),0.0092,0.0863,0.6615,1.0,0.3406
Apriori,frozenset({'pastry'}),frozenset({'napkins'}),0.002,0.041,1.6388,0.9895,0.6547
Apriori,frozenset({'canned beer'}),frozenset({'brown bread'}),0.0018,0.0524,1.3051,1.0,0.5762
Apriori,frozenset({'whole milk'}),frozenset({'other vegetables'}),0.0092,0.0706,0.6615,1.0,0.3356
Apriori,frozenset({'brown bread'}),frozenset({'canned beer'}),0.0018,0.0446,1.3051,1.0,0.5737
Apriori,frozenset({'whole milk'}),frozenset({'bottled beer'}),0.0054,0.0412,1.0173,1.0,0.4642
Apriori,frozenset({'processed cheese'}),frozenset({'rolls/buns'}),0.0014,0.125,1.2267,0.9974,0.5436
Apriori,frozenset({'pastry'}),frozenset({'berries'}),0.0012,0.0241,1.4814,0.9961,0.617
Apriori,frozenset({'soda'}),frozenset({'other vegetables'}),0.0074,0.0784,0.7347,1.0,0.3602
Apriori,frozenset({'curd'}),frozenset({'whipped/sour cream'}),0.0018,0.0595,1.3415,0.9961,0.5684
Apriori,frozenset({'pip fruit'}),frozenset({'rolls/buns'}),0.0039,0.1051,1.0313,0.9974,0.4642
Apriori,frozenset({'other vegetables'}),frozenset({'soda'}),0.0074,0.0695,0.7347,1.0,0.3574
Apriori,frozenset({'whole milk'}),frozenset({'frankfurter'}),0.002,0.0156,1.2773,1.0,0.5534
Apriori,frozenset({'fruit/vegetable juice'}),frozenset({'rolls/buns'}),0.0037,0.101,0.9909,0.9987,0.452
Apriori,frozenset({'whipped/sour cream'}),frozenset({'curd'}),0.0018,0.0404,1.3415,0.9961,0.5624
Apriori,frozenset({'hamburger meat'}),frozenset({'pastry'}),0.0011,0.0625,1.2592,0.9987,0.5453
Apriori,frozenset({'rolls/buns'}),frozenset({'whole milk'}),0.0083,0.081,0.6206,0.9987,0.3057
Apriori,frozenset({'red/blush wine'}),frozenset({'soda'}),0.0012,0.1075,1.1366,0.9987,0.5046
Apriori,frozenset({'candy'}),frozenset({'whole milk'}),0.0022,0.1343,1.0294,0.9974,0.4616
Apriori,frozenset({'yogurt'}),frozenset({'other vegetables'}),0.0063,0.0807,0.7561,0.9987,0.3553
Apriori,frozenset({'seasonal products'}),frozenset({'rolls/buns'}),0.0011,0.1385,1.3588,0.9882,0.5438
Apriori,frozenset({'whole milk'}),frozenset({'rolls/buns'}),0.0083,0.0632,0.6206,0.9987,0.3001
Apriori,frozenset({'detergent'}),frozenset({'rolls/buns'}),0.0012,0.1408,1.3822,0.9869,0.5471
Apriori,frozenset({'pork'}),frozenset({'yogurt'}),0.0017,0.0892,1.1348,0.9974,0.4921
Apriori,frozenset({'cat food'}),frozenset({'whole milk'}),0.0018,0.1261,0.966,1.0,0.4456
Apriori,frozenset({'sliced cheese'}),frozenset({'root vegetables'}),0.0011,0.0732,1.2114,0.9974,0.5182
Apriori,frozenset({'shopping bags'}),frozenset({'root vegetables'}),0.0032,0.0612,1.0137,0.9987,0.4468
Apriori,frozenset({'newspapers'}),frozenset({'whole milk'}),0.0044,0.1069,0.8195,0.9987,0.3805
Apriori,frozenset({'yogurt'}),frozenset({'whole milk'}),0.0068,0.0868,0.6649,0.9987,0.3187
Apriori,frozenset({'other vegetables'}),frozenset({'yogurt'}),0.0063,0.0594,0.7561,0.9987,0.3485
Apriori,frozenset({'rolls/buns'}),frozenset({'pip fruit'}),0.0039,0.0387,1.0313,0.9974,0.4433
Apriori,frozenset({'bottled beer'}),frozenset({'bottled water'}),0.0025,0.0619,1.0196,1.0,0.4541
Apriori,frozenset({'pastry'}),frozenset({'hamburger meat'}),0.0011,0.0217,1.2592,0.9987,0.5324
Apriori,frozenset({'bottled beer'}),frozenset({'other vegetables'}),0.0037,0.0914,0.8571,1.0,0.3971
Apriori,frozenset({'root vegetables'}),frozenset({'shopping bags'}),0.0032,0.0535,1.0137,0.9987,0.4443
Apriori,frozenset({'hamburger meat'}),frozenset({'rolls/buns'}),0.0018,0.1042,1.0222,0.9987,0.4554
Apriori,frozenset({'sugar'}),frozenset({'bottled water'}),0.0016,0.0802,1.3208,0.9908,0.5288
Apriori,frozenset({'pot plants'}),frozenset({'yogurt'}),0.0011,0.1286,1.6362,0.9777,0.5959
Apriori,frozenset({'rolls/buns'}),frozenset({'fruit/vegetable juice'}),0.0037,0.0364,0.9909,0.9987,0.4316
Apriori,frozenset({'root vegetables'}),frozenset({'soda'}),0.0045,0.0752,0.7954,1.0,0.3691
Apriori,frozenset({'bottled water'}),frozenset({'bottled beer'}),0.0025,0.0413,1.0196,1.0,0.4476
Apriori,frozenset({'rolls/buns'}),frozenset({'other vegetables'}),0.0069,0.0681,0.6381,0.9987,0.3014
Apriori,frozenset({'other vegetables'}),frozenset({'rolls/buns'}),0.0069,0.065,0.6381,0.9987,0.3005
Apriori,frozenset({'sausage'}),frozenset({'yogurt'}),0.002,0.0791,1.0062,0.9987,0.4417
Apriori,frozenset({'rolls/buns'}),frozenset({'processed cheese'}),0.0014,0.0141,1.2267,0.9974,0.5086
Apriori,frozenset({'waffles'}),frozenset({'whole milk'}),0.0025,0.1235,0.9467,0.9961,0.414
Apriori,frozenset({'whole milk'}),frozenset({'yogurt'}),0.0068,0.0522,0.6649,0.9987,0.3078
Apriori,frozenset({'specialty chocolate'}),frozenset({'soda'}),0.0016,0.0949,1.003,0.9987,0.4423
Apriori,frozenset({'brown bread'}),frozenset({'whole milk'}),0.0039,0.0982,0.7527,1.0,0.3533
Apriori,frozenset({'chewing gum'}),frozenset({'yogurt'}),0.0011,0.0882,1.1229,0.9961,0.4739
Apriori,frozenset({'white bread'}),frozenset({'canned beer'}),0.0011,0.0404,1.1799,0.9974,0.4935
Apriori,frozenset({'sausage'}),frozenset({'whole milk'}),0.0028,0.107,0.8198,1.0,0.3792
Apriori,frozenset({'soda'}),frozenset({'root vegetables'}),0.0045,0.048,0.7954,1.0,0.3605
Apriori,frozenset({'chewing gum'}),frozenset({'other vegetables'}),0.0013,0.1078,1.0108,0.9974,0.4396
Apriori,frozenset({'newspapers'}),frozenset({'shopping bags'}),0.0023,0.0549,1.0411,0.9974,0.4425
Apriori,frozenset({'fruit/vegetable juice'}),frozenset({'bottled beer'}),0.0016,0.0423,1.0444,1.0,0.4533
Apriori,frozenset({'yogurt'}),frozenset({'rolls/buns'}),0.0057,0.0731,0.717,0.9974,0.3226
Apriori,frozenset({'root vegetables'}),frozenset({'sliced cheese'}),0.0011,0.0178,1.2114,0.9974,0.5007
Apriori,frozenset({'canned beer'}),frozenset({'white bread'}),0.0011,0.0315,1.1799,0.9974,0.4907
Apriori,frozenset({'domestic eggs'}),frozenset({'newspapers'}),0.0018,0.0452,1.0918,0.9974,0.4595
Apriori,frozenset({'canned beer'}),frozenset({'yogurt'}),0.0025,0.0734,0.9344,0.9987,0.4103
Apriori,frozenset({'domestic eggs'}),frozenset({'whole milk'}),0.0039,0.0994,0.7617,0.9987,0.349
Apriori,frozenset({'bottled beer'}),frozenset({'fruit/vegetable juice'}),0.0016,0.0383,1.0444,1.0,0.452
Apriori,frozenset({'newspapers'}),frozenset({'domestic eggs'}),0.0018,0.0434,1.0918,0.9974,0.4589
Apriori,frozenset({'bottled beer'}),frozenset({'pastry'}),0.002,0.0501,1.0103,0.9987,0.4344
Apriori,frozenset({'shopping bags'}),frozenset({'newspapers'}),0.0023,0.0431,1.0411,0.9974,0.4388
Apriori,frozenset({'yogurt'}),frozenset({'pork'}),0.0017,0.0213,1.1348,0.9974,0.4707
Apriori,frozenset({'chocolate'}),frozenset({'soda'}),0.0022,0.09,0.9513,0.9974,0.4121
Apriori,frozenset({'other vegetables'}),frozenset({'bottled beer'}),0.0037,0.0348,0.8571,1.0,0.3792
Apriori,frozenset({'shopping bags'}),frozenset({'soda'}),0.0039,0.0748,0.791,0.9987,0.3545
Apriori,frozenset({'bottled water'}),frozenset({'sugar'}),0.0016,0.0256,1.3208,0.9908,0.5115
Apriori,frozenset({'rolls/buns'}),frozenset({'yogurt'}),0.0057,0.0563,0.717,0.9974,0.3173
Apriori,frozenset({'UHT-milk'}),frozenset({'other vegetables'}),0.0022,0.1084,1.0164,0.9935,0.421
Apriori,frozenset({'white bread'}),frozenset({'bottled water'}),0.0017,0.0628,1.0333,0.9974,0.4378
Apriori,frozenset({'tropical fruit'}),frozenset({'soda'}),0.0036,0.0735,0.7772,1.0,0.3545
Apriori,frozenset({'pastry'}),frozenset({'bottled beer'}),0.002,0.041,1.0103,0.9987,0.4315
Apriori,frozenset({'soda'}),frozenset({'red/blush wine'}),0.0012,0.0126,1.1366,0.9987,0.4747
Apriori,frozenset({'frankfurter'}),frozenset({'other vegetables'}),0.0012,0.098,0.919,1.0,0.4118
Apriori,frozenset({'whole milk'}),frozenset({'newspapers'}),0.0044,0.0339,0.8195,0.9987,0.3575
Apriori,frozenset({'pip fruit'}),frozenset({'pastry'}),0.0019,0.051,1.0266,0.9974,0.4325
Apriori,frozenset({'specialty bar'}),frozenset({'soda'}),0.0012,0.0877,0.9272,1.0,0.4123
Apriori,frozenset({'beef'}),frozenset({'newspapers'}),0.0011,0.0469,1.1327,0.9961,0.4654
Apriori,frozenset({'frozen vegetables'}),frozenset({'bottled beer'}),0.0013,0.0478,1.1796,0.9935,0.4707
Apriori,frozenset({'yogurt'}),frozenset({'sausage'}),0.002,0.0259,1.0062,0.9987,0.4249
